Condition,Extraversion 1,Extraversion 2,Extraversion 3,Extraversion 4,Extraversion 5,Extraversion 6,Extraversion 7,Extraversion 8,Extraversion 9,Extraversion 10,Agreeableness 1,Agreeableness 2,Agreeableness 3,Agreeableness 4,Agreeableness 5,Agreeableness 6,Agreeableness 7,Agreeableness 8,Agreeableness 9,Agreeableness 10,Conscientiousness 1,Conscientiousness 2,Conscientiousness 3,Conscientiousness 4,Conscientiousness 5,Conscientiousness 6,Conscientiousness 7,Conscientiousness 8,Conscientiousness 9,Conscientiousness 10,Emotional 1,Emotional 2,Emotional 3,Emotional 4,Emotional 5,Emotional 6,Emotional 7,Emotional 8,Emotional 9,Emotional 10,Openness 1,Openness 2,Openness 3,Openness 4,Openness 5,Openness 6,Openness 7,Openness 8,Openness 9,Openness 10
0,3,2,3,2,3,3,3,2,2,1,4,3,3,4,3,3,3,4,4,3,3,3,3,3,4,3,4,3,3,3,3,2,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2
0,3,2,2,1,2,3,3,1,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,1,3,1,1,1,1,1,2,2,2,1,1,3,1,2,2,2,1,2,1
0,1,3,3,3,3,1,3,1,2,1,3,3,1,3,3,3,3,3,3,3,3,1,3,1,3,1,3,3,1,3,1,3,1,2,2,1,1,1,1,3,1,1,3,3,1,3,3,1,3,3
0,3,1,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,1,3,1,3,1,3,1,3,3
0,2,2,2,2,2,2,2,1,1,2,3,3,1,3,1,3,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,3,1,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2
0,4,4,4,4,4,4,4,2,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4
0,2,2,3,1,2,1,2,1,2,2,3,3,1,4,3,2,3,3,3,2,2,1,4,1,0,2,3,2,2,3,1,2,0,0,1,2,2,2,3,1,2,3,3,3,3,3,3,2,4,3
0,3,3,4,3,3,3,3,1,3,1,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,1,3,1,3,1,1,1,1,2,3,3,3,3,3,3,2,3,3
0,3,3,3,3,3,3,4,3,3,3,3,3,2,3,2,2,3,3,3,3,2,4,3,3,2,4,3,3,2,2,2,1,1,3,3,3,3,3,3,3,2,2,3,2,2,2,2,1,3,2
0,1,2,2,2,2,3,1,1,2,2,3,2,3,3,2,3,3,2,3,3,2,2,3,3,2,2,3,4,2,3,2,2,1,2,2,2,1,2,3,2,3,2,3,2,3,3,3,2,2,3
0,1,3,3,1,3,2,2,1,0,2,2,2,3,3,1,3,2,2,2,3,3,0,2,3,2,1,2,1,3,1,3,2,3,3,1,2,3,3,2,3,3,0,4,1,2,3,3,1,2,2
0,3,3,3,1,3,4,4,2,2,4,3,3,3,4,0,4,3,3,4,3,2,1,1,1,2,1,3,1,2,2,1,2,2,1,0,2,3,1,3,1,3,2,4,2,3,4,1,2,3,2
0,1,2,2,1,2,1,2,1,1,1,4,3,2,3,3,2,3,3,3,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,2,3,2,1,1,2,1,2,1,3,0,2,2
0,1,2,1,0,2,3,1,0,0,0,4,3,4,4,3,4,3,4,4,3,3,4,4,3,3,1,4,3,4,3,0,1,1,2,1,3,4,3,3,2,2,2,3,2,3,3,2,0,3,2
0,1,2,1,2,3,3,3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,1,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3
0,2,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,2,3,1,3,3,2,2,3,4,3,3,3,3,2,3,1,1,1,2,1,3,4,3,1,3,3,2,4,2,3,3
0,3,3,3,1,1,1,0,1,0,1,3,2,3,3,3,3,1,3,3,3,2,3,4,3,1,3,3,3,3,3,0,1,1,1,1,2,3,3,3,3,0,1,1,2,1,1,1,0,3,1
0,3,4,4,2,4,4,4,3,3,4,4,4,1,4,3,2,4,4,4,4,3,4,3,3,4,4,4,4,4,3,2,2,2,4,4,4,4,4,4,3,3,4,2,4,3,4,4,2,4,3
0,1,2,2,1,2,1,0,1,1,2,3,2,2,3,2,3,3,3,2,2,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1
0,0,1,2,0,1,3,1,1,1,0,4,3,3,3,3,3,3,2,3,3,3,1,3,3,3,1,3,4,3,3,1,3,0,1,0,1,1,1,1,1,3,4,4,3,3,4,4,1,4,3
0,1,3,3,1,1,2,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,1,3,3,1,2,3,3,3,1,3,3,1,0,2,3,1,1,3,1,3,4,3,4,3,3,3,3,4,3
0,3,3,3,3,2,3,3,2,3,3,4,3,4,4,3,3,3,3,3,3,3,1,3,3,1,2,3,3,2,3,1,1,1,1,1,3,3,3,3,1,4,3,4,3,3,3,4,2,4,3
0,4,3,4,4,3,3,3,0,4,3,4,3,3,3,2,3,3,3,3,2,3,4,2,4,2,3,2,4,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,1,3,3
0,1,2,2,2,2,3,2,3,3,3,1,2,3,2,2,1,2,2,2,2,2,3,3,3,2,3,3,3,3,2,1,2,1,1,1,1,1,1,1,1,2,3,2,3,2,2,2,1,3,1
0,1,2,2,1,3,3,3,1,1,3,4,3,3,3,3,3,3,3,3,2,3,2,3,3,1,2,3,3,3,2,3,1,1,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2
0,3,4,4,4,4,4,4,4,4,1,4,4,3,4,3,3,3,1,4,4,2,1,3,3,3,4,2,3,4,1,1,3,1,1,0,3,0,1,3,3,4,2,4,2,2,4,4,3,3,3
0,3,3,3,2,2,1,3,2,2,0,4,3,4,3,3,4,3,1,3,3,4,3,3,3,4,3,4,1,1,2,1,1,1,1,1,1,1,1,3,1,4,3,4,3,3,3,3,0,3,3
0,3,4,3,3,3,3,2,1,1,1,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,1,1,3,2,2,1,1,1,1,1,1,1,2,2,3,2,2,2,0,2,2
0,0,1,1,1,2,1,0,1,1,1,4,2,3,4,3,3,2,2,4,3,2,1,3,2,1,2,3,2,3,3,2,1,1,1,1,2,2,2,3,2,1,3,1,2,1,1,2,1,3,1
0,1,2,1,1,2,3,1,1,3,3,2,3,3,3,1,3,3,3,4,2,3,1,3,3,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,4,3,4,2,3,4,1,3,2
0,1,1,2,1,1,1,0,1,1,1,4,3,4,3,3,3,3,3,3,3,2,4,4,3,1,4,3,3,2,2,1,3,1,1,1,4,4,3,3,1,1,3,2,3,2,3,3,1,3,2
0,2,3,3,1,3,3,3,2,2,0,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,1,2,1,1,3,1,3,1
0,3,3,3,3,3,3,4,3,3,3,3,3,1,3,3,3,3,3,3,2,3,0,3,3,1,1,3,1,3,2,1,1,1,1,1,3,0,1,2,3,3,3,3,3,3,3,4,3,3,3
0,3,3,4,2,3,2,3,2,3,0,3,3,3,3,3,3,3,2,1,3,3,1,3,0,1,1,3,1,4,3,1,2,1,2,1,1,3,3,4,0,2,0,1,3,1,1,1,1,3,3
0,3,4,3,3,3,4,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,1,3,3,3,1,3,2,4,3,3,1,1,1,1,1,0,0,1,1,3,1,3,2,3,3,3,2,3,3
0,3,3,1,1,2,1,3,1,1,2,3,3,1,3,3,4,3,2,3,2,2,1,3,1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,3,1,1,3,3,3,2,3,1,1,3,3
0,3,1,4,3,3,3,1,4,4,1,3,4,4,4,3,1,3,2,3,3,3,3,3,3,4,3,4,3,4,4,0,1,0,3,1,3,1,1,4,1,4,3,4,3,3,3,3,1,0,4
0,2,3,1,2,3,3,2,2,2,3,4,4,4,4,4,3,4,4,4,3,3,2,2,2,2,1,3,3,2,3,1,3,1,1,0,2,2,1,4,1,2,2,3,4,3,3,3,1,4,4
0,3,3,2,2,2,3,3,1,3,2,3,3,3,3,3,2,3,3,3,2,3,1,3,0,2,1,2,1,2,4,0,1,0,0,1,1,3,1,2,1,2,2,3,3,3,3,2,2,3,2
0,0,2,4,0,4,2,3,1,1,3,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,1,3,1,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4
0,0,1,1,0,1,1,0,0,0,1,3,1,4,4,3,3,2,3,4,2,3,2,4,3,2,3,4,3,3,3,1,0,0,2,1,3,2,1,2,2,1,3,0,3,2,0,3,1,3,1
0,1,0,1,1,1,0,3,3,1,0,2,3,2,4,3,4,4,3,4,2,2,2,1,1,2,0,3,2,3,1,0,2,0,1,2,3,1,1,4,1,1,2,4,2,2,4,3,1,4,3
0,2,2,3,1,2,3,3,2,3,2,4,3,3,3,2,4,2,3,3,3,4,4,3,3,2,1,2,2,3,2,1,2,1,0,1,2,2,1,2,1,2,2,3,4,3,2,3,2,3,3
0,3,4,3,3,2,3,2,2,3,3,4,3,0,4,3,4,3,3,1,2,1,0,1,1,0,0,1,0,0,0,3,4,1,3,3,3,1,2,3,4,3,1,4,1,3,3,2,2,2,3
0,3,3,3,3,3,3,2,3,3,3,4,3,2,3,3,1,2,2,2,2,2,2,3,4,2,2,2,3,3,2,3,2,2,3,2,2,3,3,3,3,2,3,2,2,3,3,2,2,3,3
0,0,0,0,1,0,0,0,1,1,1,1,2,1,2,3,4,2,3,1,0,0,1,2,0,0,1,3,1,0,2,1,3,3,1,1,2,2,1,2,1,0,2,1,3,0,1,1,3,3,1
0,2,2,1,0,2,3,1,1,3,0,4,3,2,4,1,3,2,1,4,2,2,0,3,3,1,1,2,1,3,2,0,3,1,1,1,3,3,3,3,1,1,3,3,2,3,3,1,1,4,1
0,1,4,3,4,3,4,1,4,4,1,4,4,4,4,4,4,3,4,4,4,4,1,3,4,3,4,3,4,4,4,1,3,4,4,4,4,4,4,4,4,3,1,2,1,3,3,0,0,3,3
0,1,3,2,1,3,2,1,1,1,1,3,3,3,3,2,2,3,2,3,2,3,3,3,3,0,3,3,2,1,3,1,3,2,2,1,2,3,2,3,3,2,3,3,3,2,3,2,1,3,2
0,3,1,3,2,2,3,2,2,3,0,4,4,4,3,3,3,4,3,4,3,4,4,4,4,2,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,1,2,1,3,2,2,4,0,2,3
0,2,1,1,2,3,2,1,2,2,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,1,1,2,2,3,3,3,3,3,1,3,3,3,2,3,3,1,3,2
0,2,3,3,2,3,3,1,1,2,3,3,3,1,3,3,1,3,3,3,2,3,3,3,1,1,1,3,3,3,3,0,3,1,2,1,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3
0,1,3,3,2,1,1,3,3,4,4,4,4,3,3,3,4,4,4,4,3,3,0,1,1,3,1,3,1,3,3,0,1,0,1,0,3,1,0,4,0,1,1,3,1,0,1,1,1,4,1
0,1,1,2,1,3,1,1,1,1,1,4,3,2,4,1,3,3,2,4,3,3,1,1,2,2,2,3,3,1,0,1,1,1,2,2,2,4,4,3,4,2,3,3,1,1,3,3,0,2,1
0,2,2,3,1,3,3,3,4,3,3,3,3,2,3,3,3,3,2,4,3,2,3,3,3,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,3,3,2,3,3,4,1,3,2
0,0,1,2,2,2,2,2,2,2,2,4,4,3,3,3,3,2,3,3,2,2,1,2,0,1,0,2,1,1,3,3,3,1,2,1,3,3,4,4,2,2,3,3,3,3,3,3,1,2,3
0,0,1,1,1,1,1,1,1,1,2,4,3,3,3,3,3,2,3,3,3,3,1,3,3,2,3,3,3,3,3,1,3,1,3,2,3,2,2,3,3,2,2,2,3,3,3,1,1,3,3
0,1,3,1,0,2,3,1,1,3,3,3,1,1,3,3,4,3,1,3,2,1,0,1,3,1,1,4,1,1,0,1,1,1,1,0,1,1,1,3,1,1,3,1,3,1,0,3,1,4,1
0,1,1,2,2,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,1,3,2,3,1,3,3,3,0,2,1,2,0,1,1,3,1,1,3,3,3,3,3,3,2,3,1,3,3,2
0,2,1,1,1,2,1,3,1,1,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,1,1,3,3,3,3,1,3,1,1,3,0,1,1,4,1,3,4,3,3,3,3,3,1,4,3
0,3,4,3,3,3,4,3,3,3,2,4,3,3,3,3,4,3,3,3,3,1,1,3,1,1,1,3,0,1,3,0,1,0,0,0,1,0,0,1,0,4,4,3,3,3,3,3,3,3,3
0,2,3,4,1,3,2,1,1,2,2,3,4,2,3,3,4,4,3,4,3,1,4,3,2,1,3,4,1,3,3,0,0,0,0,0,1,1,1,1,0,2,1,3,3,4,3,2,0,3,4
0,0,0,2,0,1,0,1,1,1,0,4,1,3,3,2,4,3,3,2,2,2,0,3,2,1,1,3,1,2,2,1,2,1,1,1,2,3,1,4,1,1,1,2,2,1,1,2,0,2,3
0,1,1,3,1,3,3,3,1,3,3,4,4,3,3,3,3,4,3,3,3,1,0,0,1,1,0,0,3,3,0,1,3,1,1,1,3,1,1,4,3,3,3,2,3,1,2,3,3,4,2
0,2,3,3,2,3,3,2,3,1,2,3,3,3,1,2,1,2,3,3,3,3,4,2,3,2,4,3,2,3,2,3,4,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3
0,1,1,2,0,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,4,2,3,3,1,1,1,1,1,2,1,1,3,1,2,3,3,3,1,3,3,1,3,2
0,1,2,3,0,1,2,0,1,2,2,4,4,4,4,4,4,4,4,3,3,2,0,2,0,1,0,3,3,2,1,1,2,1,0,1,3,2,1,3,0,2,2,2,3,2,2,2,1,4,2
0,1,2,2,1,2,1,1,1,2,2,3,2,3,3,2,2,2,2,3,2,2,2,3,2,1,1,2,3,2,2,2,2,2,3,2,3,3,3,3,3,1,2,1,1,2,1,3,1,3,2
0,3,3,4,2,2,4,3,2,2,4,4,4,3,4,3,4,3,4,4,4,3,3,3,3,1,3,3,4,3,3,1,1,1,2,1,3,2,1,4,1,3,4,3,3,3,3,2,3,4,3
0,4,4,3,3,3,3,3,2,3,2,3,3,2,3,2,2,3,3,2,2,2,3,2,3,3,3,3,4,2,2,3,3,3,3,3,3,2,2,3,4,4,4,3,3,3,3,3,3,3,3
0,1,1,1,2,1,1,1,2,1,1,4,4,3,3,3,3,3,2,3,1,3,2,3,3,2,1,3,4,3,2,1,1,0,0,1,2,1,1,2,1,3,1,3,3,2,3,1,1,3,2
0,3,2,3,1,3,3,4,1,1,3,3,4,3,3,4,4,3,2,3,3,2,1,2,2,1,0,3,2,3,1,0,1,1,1,0,0,0,1,1,1,2,2,3,3,3,3,2,3,3,3
0,4,4,4,4,4,4,4,4,4,3,4,4,1,3,4,3,4,4,3,3,3,3,1,1,1,2,1,4,0,3,2,3,4,2,3,4,4,3,4,3,4,3,4,3,4,4,3,3,3,4
0,3,4,4,3,4,4,2,2,3,1,4,4,4,4,4,4,3,3,4,3,2,1,2,4,2,2,4,3,3,1,3,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,2,4,4
0,3,3,3,2,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,2,2,3,3,1,1,3,1,1,1,3,3,1,3,2,3,3,3,4,3,4,3,4,4,3,4,3,3,3,4
0,2,2,2,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,4,3,1,2,2,2,2,3,2,1,2,2
0,1,3,2,3,4,1,3,1,2,3,1,2,1,1,2,3,2,3,1,2,1,0,1,1,1,1,2,1,1,0,1,4,1,3,1,3,1,1,1,2,3,1,3,1,3,3,2,1,0,3
0,3,3,1,2,3,2,3,2,3,2,3,4,4,3,2,3,3,3,3,4,2,0,4,2,2,1,3,4,0,3,4,4,0,0,0,1,1,0,4,0,4,4,4,3,3,4,4,3,4,4
0,3,3,1,2,3,4,3,2,3,3,1,2,3,2,1,1,1,1,3,1,3,1,4,4,1,1,4,4,3,4,1,1,1,1,1,2,2,1,4,2,2,3,1,3,2,1,3,1,4,1
0,3,4,3,4,4,4,3,3,0,4,4,4,3,3,4,0,4,3,3,4,2,2,2,3,2,3,3,3,3,1,2,4,2,4,3,4,4,2,4,4,1,3,4,3,2,4,2,0,3,3
0,3,1,3,1,3,3,3,1,3,2,3,3,3,3,3,2,3,4,3,3,3,2,3,3,2,3,4,4,3,3,1,1,1,0,0,1,0,0,3,1,3,3,3,3,3,3,4,3,3,3
0,0,2,2,1,2,1,2,2,1,2,3,2,2,3,2,2,2,2,3,2,2,1,2,1,1,2,3,2,2,2,1,2,2,4,2,2,1,2,3,4,1,2,2,2,2,2,1,2,2,2
0,0,0,1,1,2,1,1,2,1,1,3,2,0,1,3,2,2,2,3,1,1,2,3,2,1,3,3,1,1,3,2,3,2,2,1,2,3,3,3,2,2,2,1,3,1,1,3,1,3,1
0,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,1,2,1,2,3,3,3,3,3,2,1,2,1,2,1,2,3,1,3,1
0,1,3,3,3,3,4,3,3,4,3,3,3,3,4,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,1,1,3,3,3,3,1,1,3,3,3,3,3,3,3,1,4,3
0,2,1,2,2,2,1,2,1,1,2,3,2,2,3,2,3,2,2,3,3,3,3,3,3,4,3,3,3,3,3,2,2,1,3,2,2,3,2,3,3,2,1,2,2,2,2,2,1,3,2
0,2,0,3,2,3,2,2,0,2,1,3,3,0,3,3,4,3,4,3,3,3,1,4,3,2,0,3,4,1,3,1,3,0,4,2,2,2,2,3,3,2,3,4,2,3,4,3,0,3,3
0,1,1,1,2,1,1,1,1,2,1,4,3,2,4,3,3,3,3,3,3,3,1,1,4,1,1,4,4,1,1,1,3,1,1,1,1,1,1,1,3,3,3,4,3,4,3,4,1,3,3
0,0,3,2,2,1,2,1,1,1,0,4,3,4,3,3,4,4,3,3,3,4,3,3,4,3,2,4,4,4,4,0,0,1,0,0,2,2,1,4,2,2,1,4,4,2,3,1,1,4,2
